company,timestamp,kwh,kvarh
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 00:00:00,0.1387,0.0816
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 00:15:00,0.121,0.0618
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 00:30:00,0.1131,0.0629
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 00:45:00,0.0975,0.0518
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 01:00:00,0.1181,0.0673
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 01:15:00,0.1038,0.0534
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 01:30:00,0.1447,0.0846
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 01:45:00,0.1024,0.0571
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 02:00:00,0.0867,0.0452
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 02:15:00,0.1245,0.0727
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 02:30:00,0.0862,0.0447
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 02:45:00,0.1154,0.0678
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 03:00:00,0.1065,0.06
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 03:15:00,0.1138,0.0626
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 03:30:00,0.1561,0.0857
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 03:45:00,0.0934,0.0489
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 04:00:00,0.1197,0.0704
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 04:15:00,0.1153,0.0662
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 04:30:00,0.1075,0.0584
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 04:45:00,0.1194,0.0678
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 05:00:00,0.1028,0.0553
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 05:15:00,0.1438,0.0805
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 05:30:00,0.0937,0.047
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 05:45:00,0.1568,0.0839
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 06:00:00,0.1285,0.0724
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 06:15:00,0.0997,0.0519
kV2c_ADMIN ACUEDUCTO_LPData,2025-09-01 06:30:00,0.1249,0.0818
kV2c_ADMIN OFICINA_LPData,2025-09-01 00:00:00,0.0965,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 00:15:00,0.0955,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 00:30:00,0.0946,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 00:45:00,0.095,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 01:00:00,0.0949,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 01:15:00,0.0951,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 01:30:00,0.0947,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 01:45:00,0.0954,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 02:00:00,0.0946,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 02:15:00,0.0938,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 02:30:00,0.0938,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 02:45:00,0.0939,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 03:00:00,0.0938,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 03:15:00,0.0941,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 03:30:00,0.094,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 03:45:00,0.0938,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 04:00:00,0.0964,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 04:15:00,0.0914,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 04:30:00,0.092,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 04:45:00,0.0931,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 05:00:00,0.0921,0.0
kV2c_ADMIN OFICINA_LPData,2025-09-01 05:15:00,0.0926,0.0
kV2c_ADUANA_LPData,2025-09-01 00:00:00,0.0264,0.0183
kV2c_ADUANA_LPData,2025-09-01 00:15:00,0.026,0.0188
kV2c_ADUANA_LPData,2025-09-01 00:30:00,0.0293,0.0192
kV2c_ADUANA_LPData,2025-09-01 00:45:00,0.0282,0.0189
kV2c_ADUANA_LPData,2025-09-01 01:00:00,0.0286,0.0186
kV2c_ADUANA_LPData,2025-09-01 01:15:00,0.0308,0.0202
kV2c_ADUANA_LPData,2025-09-01 01:30:00,0.0303,0.0196
kV2c_ADUANA_LPData,2025-09-01 01:45:00,0.0279,0.0193
kV2c_ADUANA_LPData,2025-09-01 02:00:00,0.0266,0.0191
kV2c_ADUANA_LPData,2025-09-01 02:15:00,0.0271,0.019
kV2c_ADUANA_LPData,2025-09-01 02:30:00,0.0288,0.0194
kV2c_ADUANA_LPData,2025-09-01 02:45:00,0.0283,0.0194
kV2c_ADUANA_LPData,2025-09-01 03:00:00,0.028,0.0196
kV2c_ADUANA_LPData,2025-09-01 03:15:00,0.0292,0.0209
kV2c_ADUANA_LPData,2025-09-01 03:30:00,0.0295,0.0193
kV2c_ADUANA_LPData,2025-09-01 03:45:00,0.0263,0.019
kV2c_ADUANA_LPData,2025-09-01 04:00:00,0.0263,0.019
kV2c_ADUANA_LPData,2025-09-01 04:15:00,0.0275,0.0192
kV2c_ADUANA_LPData,2025-09-01 04:30:00,0.0286,0.0193
kV2c_ADUANA_LPData,2025-09-01 04:45:00,0.0279,0.0194
kV2c_ADUANA_LPData,2025-09-01 05:00:00,0.0295,0.019
kV2c_ADUANA_LPData,2025-09-01 05:15:00,0.0291,0.0202
kV2c_ADUANA_LPData,2025-09-01 05:30:00,0.0273,0.0189
kV2c_ADUANA_LPData,2025-09-01 05:45:00,0.0276,0.0184
kV2c_ADUANA_LPData,2025-09-01 06:00:00,0.0274,0.0182
kV2c_ADUANA_LPData,2025-09-01 06:15:00,0.0297,0.0179
kV2c_ADUANA_LPData,2025-09-01 06:30:00,0.0271,0.0177
kV2c_ADUANA_LPData,2025-09-01 06:45:00,0.0581,0.0216
kV2c_ADUANA_LPData,2025-09-01 07:00:00,0.1397,0.0411
kV2c_ADUANA_LPData,2025-09-01 07:15:00,0.1411,0.0391
kV2c_ADUANA_LPData,2025-09-01 07:30:00,0.1452,0.0364
kV2c_ADUANA_LPData,2025-09-01 07:45:00,0.1362,0.0318
kV2c_ADUANA_LPData,2025-09-01 08:00:00,0.1405,0.0344
kV2c_ADUANA_LPData,2025-09-01 08:15:00,0.1499,0.0347
kV2c_ADUANA_LPData,2025-09-01 08:30:00,0.1488,0.0357
kV2c_ADUANA_LPData,2025-09-01 08:45:00,0.1492,0.0372
kV2c_ADUANA_LPData,2025-09-01 09:00:00,0.1527,0.038
kV2c_ADUANA_LPData,2025-09-01 09:15:00,0.1432,0.0327
kV2c_ADUANA_LPData,2025-09-01 09:30:00,0.1368,0.0277
kV2c_ADUANA_LPData,2025-09-01 09:45:00,0.1494,0.0338
kV2c_ADUANA_LPData,2025-09-01 10:00:00,0.1528,0.0359
