company,multiplo,kwh_final,kvarh_final,kw_final,rows
kV2c_ADMIN ACUEDUCTO_LPData,0.1387,0.0,0.0,0.0,2976
kV2c_ADMIN OFICINA_LPData,0.0965,0.0,0.0,0.0,2976
kV2c_ADUANA_LPData(1),80.0,28922.448,5227.143999999999,10.104,2976
kV2c_ALESSI DOMENICO_LPData,0.0048,0.9502281600000001,0.0,0.00032208,2976
kV2c_ALPHA PLASTICS_LPData,0.1656,0.0,0.0,0.0,2976
kV2c_ALUMAXINC III_LPData,0.001,0.018881500000000002,0.0,6.8e-06,2976
kV2c_ALUMAXINC II_LPData(1),80.0,0.0,0.0,0.0,2976
kV2c_ALUMAXINC I_LPData(1),80.0,0.024,71.42399999999999,0.008,2976
kV2c_APLICARD_LPData,0.02,9.95829,4.551302,0.00348,2976
kV2c_AREA COMUN ARRIOR_LPData(1),80.0,142.808,714.376,0.047999999999999994,2976
kV2c_ARRIOL JHONSON_LPData,0.0101,6.616274669999999,4.550869110000001,0.00224725,2976
kV2c_AZO DR_LPData,0.1484,84.6749624,7.048569640000001,0.03126788,2976
kV2c_CONCENTRIX_LPData,0.0641,0.0,0.0,0.0,2976
kV2c_CONDUENT SOLUCTION_LPData,0.0327,0.0,0.0,0.0,2976
kV2c_CONTINUUM_LPData,0.0722,0.0,0.0,0.0,2976
kV2c_CORFLEX_LPData,0.0193,12.768789290000003,2.95930567,0.004327060000000001,2976
kV2c_E-CYCLING 1_LPData,0.0,0.0,0.0,0.0,2976
kV2c_ECYCLING 2_LPData,0.0076,0.0,0.0,0.0,2976
kV2c_G&K III 23484944_LPData,80.0,39377.608,0.0,18.848,2976
kV2c_HANES CARIBE_LPData,0.0035,0.0,0.0,0.0,2976
kV2c_INGENIUM 2_LPData,0.0264,3.6418588799999996,4.15067664,0.00218856,2976
kV2c_INGENIUM DEUS 1_LPData(1),80.0,2787.464,381.12,1.128,2976
kV2c_JCS FAMALY_LPData,0.0636,11.58030708,0.00023532000000000002,0.00433752,2976
kV2c_K&L MICROWAVE_LPData,0.0202,0.0,0.0,0.0,2976
kV2c_LDM NUEVO_LPData,0.0,0.0,0.0,0.0,2976
kV2c_MFI 3_LPData,0.0037,0.0,0.0,0.0,2976
kV2c_NATIONAL 2_LPData,0.0081,2.19175956,0.81126522,0.00074358,2976
kV2c_NATIONAL CHAIN_LPData,0.028,0.0,0.0,0.0,2976
kV2c_NATIONAL MONTESINO_LPData,0.012,2.8027968000000003,1.184208,0.0009492000000000001,2976
kV2c_PIONEER_LPData,0.0282,1.22182986,0.0,0.00041736000000000003,2976
kV2c_POINT BLANK 2_LPData,0.0027,0.0,0.0,0.0,2976
kV2c_TONKA_LPData,0.004,0.0,0.0,0.0,2976
